Source IP,Destination IP,Source Port,Destination Port,Protocol,Latency (ms)
8.8.8.8,10.0.2.15,53,54060,UDP,31.937
10.0.2.15,74.125.97.200,39026,443,TCP,0.057
10.0.2.15,74.125.97.200,39026,443,TCP,0.028
10.0.2.15,74.125.97.200,38345,443,UDP,9.524
74.125.97.200,10.0.2.15,443,39026,TCP,0.433
10.0.2.15,74.125.97.200,38345,443,UDP,1.673
8.8.8.8,10.0.2.15,53,34964,UDP,78.916
10.0.2.15,74.125.97.200,38345,443,UDP,44.213
74.125.97.200,10.0.2.15,443,38345,UDP,0.311
10.0.2.15,74.125.97.200,38345,443,UDP,3.136
74.125.97.200,10.0.2.15,443,38345,UDP,17.641
74.125.97.200,10.0.2.15,443,38345,UDP,0.861
10.0.2.15,74.125.97.200,38345,443,UDP,1.494
10.0.2.15,8.8.8.8,47986,53,UDP,0.670
8.8.8.8,10.0.2.15,53,47986,UDP,1.252
216.58.209.78,10.0.2.15,443,38074,TCP,53.557
10.0.2.15,216.58.209.78,38074,443,TCP,5.652
216.58.209.78,10.0.2.15,443,38074,TCP,0.048
216.58.209.78,10.0.2.15,443,38074,TCP,0.680
216.58.209.78,10.0.2.15,443,38074,TCP,100.250
10.0.2.15,216.58.209.78,38074,443,TCP,1.616
10.0.2.15,216.58.209.78,38074,443,TCP,0.029
10.0.2.15,216.58.209.78,40824,443,UDP,293.453
10.0.2.15,216.58.209.78,38074,443,TCP,0.351
216.58.209.78,10.0.2.15,443,38074,TCP,0.044
216.58.209.78,10.0.2.15,443,38074,TCP,0.013
216.58.209.78,10.0.2.15,443,38074,TCP,0.787
216.58.209.78,10.0.2.15,443,38074,TCP,0.025
216.58.209.78,10.0.2.15,443,38074,TCP,0.015
10.0.2.15,74.125.4.8,59754,443,UDP,6.099
10.0.2.15,216.58.209.78,40824,443,UDP,0.853
74.125.4.8,10.0.2.15,443,59754,UDP,0.237
10.0.2.15,74.125.4.8,59754,443,UDP,0.813
74.125.4.8,10.0.2.15,443,59754,UDP,0.232
10.0.2.15,216.58.209.78,40824,443,UDP,0.907
10.0.2.15,74.125.4.8,59754,443,UDP,8.206
10.0.2.15,216.58.209.78,40824,443,UDP,0.340
216.58.209.78,10.0.2.15,443,40824,UDP,0.332
10.0.2.15,216.58.209.78,40824,443,UDP,0.226
10.0.2.15,216.58.209.78,40824,443,UDP,1.196
10.0.2.15,216.58.209.78,40824,443,UDP,10.019
10.0.2.15,216.58.209.78,40824,443,UDP,0.069
74.125.4.8,10.0.2.15,443,59754,UDP,43.447
74.125.4.8,10.0.2.15,443,59754,UDP,0.001
74.125.4.8,10.0.2.15,443,59754,UDP,0.001
216.58.209.78,10.0.2.15,443,40824,UDP,0.518
216.58.209.78,10.0.2.15,443,40824,UDP,22.658
74.125.4.8,10.0.2.15,443,59754,UDP,53.304
10.0.2.15,216.58.209.78,38074,443,TCP,0.256
10.0.2.15,216.58.209.78,38074,443,TCP,0.024
10.0.2.15,216.58.209.78,38074,443,TCP,0.030
216.58.209.78,10.0.2.15,443,38074,TCP,8.227
216.58.209.78,10.0.2.15,443,38074,TCP,3.255
216.58.209.78,10.0.2.15,443,38074,TCP,0.295
